药材,别名,性味归经,功用,症状,药材分类,用法用量,注意事项
黄芩,腐肠、黄文、妒妇、虹胜、经芩、印头、内虚、空肠、子芩、宿芩、条芩、元芩、土金茶根、山茶根,味苦，性寒；归肺、胆、脾、胃、大肠、小肠经,清热燥湿，泻火解毒，止血，安胎。,1、湿温，暑湿，胸闷呕恶，湿热痞满，黄疸泻痢：本品性味苦寒，功能清热燥湿，善清肺胃胆及大肠之湿热，尤长于清中上焦湿热。  2、肺热咳嗽，高热烦渴：本品主入肺经，善清泻肺火及上焦实热，用治肺热壅遏所致咳嗽痰稠，肺热咳嗽气喘，肺热咳嗽痰多。  3、血热吐衄：本品能清热泻火以凉血止血，可用治火毒炽盛迫血妄行之吐血、衄血等证，及其他出血证，崩漏。  4、痈肿疮毒：本品有清热泻火解毒的作用，可用治火毒炽盛之痈肿疮毒，热毒壅滞痔疮热痛。  5、胎动不安：本品具清热安胎之功，用治血热胎动不安，气虚血热胎动不安，肾虚有热胎动不安。 ,植物,内服：煎服，3-10g。清热多生用，安胎多炒用，清上焦热可酒炙用，止血可炒炭用。,黄芩苦寒伤胃，脾胃虚寒者不宜使用。
茯苓,茯菟、松腴、不死面、松薯、松苓、松木薯,味甘、淡，性平；归心、肺、脾、肾经,利水消肿，渗湿，健脾，宁心。,主要用于水肿、痰饮、脾虚泄泻、心悸、失眠等。,植物,内服：煎汤，10-15g；或入丸散。宁心安神用朱砂拌。,阴虚而无湿热、虚寒精滑、气虚下陷者慎服。
当归,干归、马尾当归、秦归、马尾归、云归、西当归、岷当归,味甘、辛，性温；归肝、心、脾经,补血活血，调经止痛，润肠通便。,主治血虚萎黄，月经不调，经闭痛经，血虚，血滞，血寒诸痛，跌打损伤，风湿痹痛，痈疽疮疡，肠燥便秘等。 ,植物,内服：煎汤，6-12g；或入丸、散；或浸酒；或敷膏。,热盛出血患者禁服，湿盛中满及大便溏泄者慎服。
鬼针草,鬼钗草、鬼黄花、山东老鸦草、婆婆针、鬼骨针、盲肠草、跳虱草、豆渣菜、叉婆子、引线包、针包草、一把针、刺儿鬼、鬼蒺藜、乌藤菜、清胃草、跟人走、粘花衣、鬼菊、擂钻草、山虱母、粘身草、咸丰草、脱力草。,味苦，性微寒。归肝、肾、脾经,清热解毒，祛风除湿，活血消肿。,用于咽喉肿痛，泄泻，痢疾，黄疸，肠痈，疔疮肿毒，蛇虫咬伤，风湿痹痛，跌打损伤。,无毒,内服：煎汤，15-30g，鲜品倍量；或捣汁。外用：适量，捣敷或取汁涂；或煎水熏洗。,尚不明确。
马陆,蚿、马蛾、百足、马蚿、马蚰、马蠲、秦渠、飞虼虫、马轴、千足、刀环虫、百节虫,味辛，性温,破积，解毒，和胃。,癥积，痞满，胃痛食少，痈肿，毒疮。,有毒,1、内服：研粉或制成片剂，1-2g。 2、外用：熬膏，研末，或捣敷。,本品有毒，内服宜慎。
菟丝子,禅真、豆寄生、豆阎王、黄丝、黄丝藤、金丝藤,味甘，性温；归肝、肾、脾经,补阳益阴，固精缩尿，明目止泻。,主要用于腰膝酸痛，阳痿遗精，遗尿尿频，肝肾不足，目暗不明，脾肾阳虚，便溏泄泻，胎动不安，妊娠漏血等。,植物,内服：煎汤，6-15g；或入丸、散。外用：炒研调敷。,本品虽为平补之药，但偏补阳，阴虚火旺、大便燥结、小便短赤者不宜服用。
连翘,黄花杆、黄寿丹,味苦，性微寒；归肺、心、小肠经,清热解毒，消肿散结，疏散风热。,1、疮痈肿毒，瘰疬痰核：本品苦寒，主入心经，既能清心火，又能消散痈肿，固有“疮家圣药”之称。  2、风热外感，温病初起：本品苦能清泄，寒能清热，入心、肺二经，长于清心火，散上焦风热。  3、热淋涩痛：本品苦寒通降，兼有清心利尿之功。 ,植物,内服：煎服，6-15g。,脾胃虚寒及气虚脓清者不宜用。
凌霄花,芰华、紫葳华、苃华、陵霄花、堕胎花、藤萝花、吊墙花、杜灵霄花,味辛，性微寒；归肝、心包经,破瘀通经，凉血祛风。,主要用于瘀血阻滞的经闭、癥瘕积聚、跌打损伤、风疹、皮癣、皮肤瘙痒、痤疮等。 ,植物,内服：煎汤，3-6g；或入散剂。外用：适量，研末调涂；或煎汤熏洗。,凌霄花破血力胜，故孕妇及气血虚弱者忌用。
山茱萸,蜀枣、鬾实、鼠矢、鸡足、山萸肉、实枣儿、肉枣、枣皮、药枣、红枣皮,味酸、涩，性微温；归肝、肾经,补益肝肾，收敛固涩。,1、腰膝酸软，头晕耳鸣，阳痿：本品酸微温质润，其性温而不燥，补而不峻，补益肝肾，既能益精，又可助阳，为平补阴阳之要药。  2、遗精滑精，遗尿尿频：本品既能补肾益精，又能固精缩尿。  3、崩漏，月经过多：本品入于下焦，能补肝肾、固冲任以止血。  4、大汗不止，体虚欲脱：本品酸涩性温，能收敛止汗，固涩滑脱，为防止元气虚脱之要药。,植物,内服：煎汤，5-10g；或入丸、散。,命门火炽、素有湿热、小便淋涩者禁服。
丹参,郄蝉草、赤参、木羊乳、逐马、奔马草、山参、紫丹参、红根、山红萝卜、活血根、靠山红、红参、精选酒壶根、野苏子根、山苏子根、大红袍、蜜罐头、血参根、朵朵花根、蜂糖罐、红丹参,味苦，性微寒；归心、心包、肝经,活血调经，祛瘀止痛，凉血消痈，除烦安神。,1、月经不调，闭经痛经，产后瘀滞腹痛：功善活血祛瘀，性微寒而缓，能祛瘀生新而不伤正，善调经水，为妇科调经常用药。《本草纲目》谓其“能破宿血，补新血。”《妇科明理论》有“一味丹参散，功同四物汤”之说。临床常用于月经不调、经闭、痛经及产后瘀滞腹痛。因其性偏寒凉，对血热瘀滞之证尤为相宜。  2、血瘀心痛，脘腹疼痛，癥瘕积聚，跌打损伤，风湿痹证：本品善能通行血脉，祛瘀止痛，广泛应用于各种瘀血病证。  3、疮痈肿毒：本品性寒，既能凉血活血，又能清热消痈。  4、热病烦躁神昏，心悸失眠：本品入心经，既可清热凉血，又可除烦安神，既能活血又能养血以安神定志。,植物,内服：煎服，5-15g。活血化瘀宜酒炙用。,妇女月经过多及无瘀血者禁服；孕妇慎服；反藜芦。
猫头鹰,横纹小枭、鬼车枭、夜食鹰、鸺鹠、鵰鸮、鹫鸺鹠、大猫王、黄嘴角鸮、木兔,味酸、咸，性平,解毒，定惊，去风湿。,瘰疬，癫痫，噎食，头风，风湿痛。,动物,内服：煮食，50-100g；烧研入散，5-10g：或浸酒。,
决明子,草决明、羊明、羊角、马蹄决明、还瞳子,味甘、苦、咸，性微寒；归肝、大肠经,清肝明目，润肠通便。,1、目赤肿痛，羞明多泪，目暗不明：本品主入肝经，功善清肝明目而治肝热目赤肿痛、羞明多泪，风热上攻头痛目赤，肝肾阴亏，视物昏花、目暗不明。  2、头痛，眩晕：本品苦寒入肝，既能清泻肝火，又兼能平抑肝阳，故可用治肝阳上亢之头痛、眩晕。  3、肠燥便秘：本品性味甘咸寒，兼入大肠经而能清热润肠通便，用于内热肠燥，大便秘结。 ,植物,内服：煎汤，6-15g，大量可用至30g；或研末；或泡茶饮。外用：研末调敷。,脾胃虚寒及便溏者慎服。
鱼腥草,岑草、蕺、菹菜、紫背鱼腥草、紫蕺、菹子、侧耳根、九节莲、折耳根、肺形草、臭腥草,味辛，性微寒；归肺经,清热解毒，消痈排脓，利尿通淋。,1、肺痈吐脓，肺热咳嗽：本品寒能泄降，辛以散结，主入肺经，以清解肺热见长，又具消痈排脓之效，故为治肺痈之要药。  2、热毒疮痈：本品辛寒，既能清热解毒，又能消痈排脓，亦为外痈疮毒常用之品。  3、湿热淋证：本品有清热除湿，利水通淋之效，善清膀胱湿热，用治小便淋沥涩痛。  4、本品又能清热止痢，还可用治湿热泻痢。 ,植物,内服：煎服，15-25g。鲜品用量加倍，水煎或捣汁服。外用：适量，捣敷或煎汤熏洗患处。,本品含挥发油，不宜久煎。虚寒证及阴证疮疡忌服。
麦冬,麦门冬、沿阶草,味甘、微苦，性微寒，归胃、肺、心经,养阴润肺、益胃生津、清心除烦。,1、胃阴虚证：本品味甘柔润，性偏苦寒，长于滋养胃阴，生津止渴，兼清胃热。广泛用于胃阴虚有热之舌干口渴、胃脘疼痛、饥不欲食、呕逆、大便干结等症。如治热伤胃阴，口干舌燥，常与生地、玉竹、沙参等品同用。治消渴，可与天花粉、乌梅等品同用。与半夏、人参等同用，治胃阴不足之气逆呕吐，如麦门冬汤（《金贵要略》）。与生地、玄参同用，治热邪伤津之便秘，如增液汤（《温病条辨》）。 2、肺阴虚证：本品又善养肺阴，清肺热，适用于阴虚肺燥有热的鼻燥咽干，干咳痰少，咳血，咽痛音哑等症，常与阿胶、石膏、桑叶、枇杷叶等同用，如清燥救肺汤（《医门法律》）。 3、心阴虚证：本品可归心经，还能养心阴，并略具除烦安神作用，可用于心阴虚有热之心烦失眠、健忘、心悸怔忡等症，宜与生地、酸枣仁、柏子仁等养阴安神之品配用，如天王补心丹（《摄生秘剖》）。治热伤心营，神烦少寐者，宜与黄连、生地、玄参等清心凉血养阴之品同用，如清营汤（《温病条辨》）。,植物,内服：煎汤，6-15g；或入丸、散、膏。外用：适量，研末调敷；煎汤涂；或鲜品捣汁搽。,1、凡脾虚便溏、肺胃有痰饮湿浊及初感风寒咳嗽者忌服。
西洋参,西洋人参、西洋参、西参、花旗参、广东人参,味甘、微苦，性凉；归肺、心、肾、脾经,补气养阴，清热生津。,1、气阴两伤证：本品亦能补益元气，但作用弱于人参；其药性偏凉，兼能清火养阴生津。适用于热病或大汗、大泻、大失血，耗伤元气及阴津所致神疲乏力、气短息促、自汗热粘、心烦口渴、尿短赤涩、大便干结、舌燥、脉细数无力等证。  2、肺气虚及肺阴虚证：本品能补肺气，兼能养肺阴、清肺火，适用于火热耗伤肺脏气阴所致短气喘促，咳嗽痰少，或痰中带血等症。  3、热病气虚津伤口渴及消渴：本品不仅能补气、养阴生津，还能清热，适用于热伤气津所致身热汗多，口渴心烦，体倦少气，脉虚数者。,植物,内服：煎汤（另煎汁和服），3-6g；或入丸、散。,1、中阳虚衰，寒湿中阻及湿热郁火者慎服。
冬虫夏草,夏草冬虫、虫草、冬虫草,味甘，性温；归肾、肺经,补肾益肺，止血化痰。,1、阳痿遗精，腰膝酸痛：本品补肾益精，有兴阳起痿之功。用治肾阳不足，精血亏虚之阳痿遗精、腰膝酸痛。  2、久咳虚喘，劳嗽痰血：本品甘平，为平补肺肾之佳品，功能补肾益肺、止血化痰、止咳平喘，尤为劳嗽痰血多用。 ,植物,内服：煎服，5-15g。也可入丸、散。,有表邪者不宜用。
枸杞,苟起子、枸杞红实、甜菜子、西枸杞、狗奶子、红青椒、枸蹄子、枸杞果、地骨子、枸茄茄、红耳坠、血枸子、枸地芽子、枸杞豆、血杞子、津枸杞（天津）,味甘，性平；归肝、肾、肺经,滋补肝肾，益精明目。,肝肾阴虚及早衰证：本品能滋肝肾之阴，为平补肾精肝血之品。,植物,内服：煎汤，5-15g；或入丸、散、膏、酒剂。,脾虚便溏者慎服。
白术,山蓟、杨枹蓟、术、山芥、天蓟、山姜、山连、山精、乞力伽、冬白术,味苦、甘，性温；归脾、胃经,补气健脾，燥湿利水，止汗，安胎。,用于脾虚食少，腹胀泄泻，痰饮眩悸，水肿，自汗，胎动不安。,植物,内服：煎汤，3-15g：熬膏或入丸、散。利水消肿，固表止汗。除湿治痹宜生用；健脾和胃宜炒用；健脾止泻宜炒焦用。,1、性温，凡外感风热或温热、实热内炽，阴虚火旺、血虚血热等证不宜单味药大量服用。
柴胡,地熏、山菜、菇草、柴草,味苦、辛，性微寒；归肝、胆经,解表退热，疏肝解郁，升举阳气。,1、表证发热，少阳证：本品辛散苦泄，微寒退热，善于祛邪解表退热和疏散少阳半表半里之邪。对于外感表证发热，无论风热、风寒表证，皆可使用。  2、肝郁气滞：本品辛行苦泄，性善条达肝气，疏肝解郁。  3、气虚下陷，脏器脱垂：本品能升举脾胃清阳之气。  4、本品还可退热疟。 ,植物,内服：煎服，3-9g。解表退热宜生用，且用量宜稍重，疏肝解郁宜醋炙，升阳可生用或酒炙，其用量均宜稍轻。,柴胡其性升散，古人有“柴胡劫肝阴”之说，阴虚阳亢，肝风内动，阴虚火旺及气机上逆者忌用或慎用。
五味子,菋、荎蕏、玄及、会及、五梅子、山花椒,味酸、甘，性温；归肺、心、肾经,收敛固涩，益气生津，补肾宁心。,1、久咳虚喘：本品味酸收敛，甘温而润，能上敛肺气，下滋肾阴，为治疗久咳虚喘之要药。  2、自汗，盗汗：本品五味俱全，以酸为主，善能敛肺止汗。  3、遗精，滑精：本品甘温而涩，入肾，能补肾涩精止遗，为治肾虚精关不固遗精、滑精之常用药。  4、久泻不止：本品味酸涩性收敛，能涩肠止泻。  5、津伤口渴，消渴：本品甘以益气，酸能生津，具有益气生津止渴之功。  6、心悸，失眠，多梦：本品既能补益心肾，又能宁心安神。,植物,内服：煎服，3-6g；研末服，1-3g。,外有表邪，内有实热，或咳嗽初起、痧疹初发者忌服。
牛膝,百倍、牛茎、脚斯蹬、铁牛膝、杜牛膝、怀牛膝、怀夕、真夕、怀膝、土牛膝、淮牛膝、红牛膝、牛磕膝、牛克膝、牛盖膝、粘草子根、牛胳膝盖、野牛充膝、接骨丹、牛盖膝头,味苦、甘、酸，性平；归肝、肾经,活血通经，补肝肾，强筋骨，利水通淋，引火（血）下行。,1、瘀血阻滞经闭、痛经、经行腹痛、胞衣不下，跌打伤痛：本品活血祛瘀力较强，性善下行，长于活血通经，其活血祛瘀作用有疏利降泄之特点，尤多用于妇科经产诸疾以及跌打伤痛。  2、腰膝酸痛，下肢痿软：既能活血祛瘀，又能补益肝肾，强筋健骨，兼能祛除风湿。  3、淋证，水肿，小便不利：本品性善下行，既能利水通淋，又能活血祛瘀。  4、头痛，眩晕，齿痛，口舌生疮，吐血，衄血：本品味苦善泄降，能导热下泄，引血下行，以降上炎之火。,植物,内服：煎服，6-15g。活血通经、利水通淋、引火（血）下行宜生用；补肝肾、强筋骨宜酒炙用。,凡中气下陷，脾虚泄泻，下元不固，梦遗滑精，月经过多及孕妇均禁服。
鸡内金,鸡肶胵里黄皮、鸡肶胵、鸡盹内黄皮、鸡盹皮、鸡黄皮、鸡食皮、鸡合子、鸡中金、化石胆、化骨胆,味甘，性平；归脾、胃、小肠、膀胱经,消食健胃，涩精止遗。,1、饮食积滞、小儿疳积：本品消食化积作用较强，并可健运脾胃，故广泛用于米面薯芋乳肉等各种食积证。  2、肾虚遗精、遗尿：本品可固精缩尿止遗。  3、砂石淋证、胆结石：本品入膀胱经，有化坚消石之功。,动物,内服：煎服，3-10g；研末服，每次1.5-3g。研末服效果比煎剂好。,脾虚无积滞者慎用。
桂花,木犀花、金桂、银桂、月桂,植物界,温肺化饮，散寒止痛。,用于痰饮咳喘，脘腹冷痛，肠风血痢，经闭痛经，寒疝腹痛，牙痛，口臭。,被子植物门,内服：煎汤，3-9g；或泡茶。外用：适量，煎汤含漱或蒸热外熨。,尚不明确。
藏红花,西红花、番红花、泊夫蓝、番栀子蕊、撒馥兰、撒法郎,味甘，性平；归心、肝经,活血祛瘀，散郁开结，凉血解毒。,痛经，经闭，月经不调，产后恶露不净，腹中包块疼痛，跌扑损伤，忧郁痞闷，惊悸，温病发斑，麻疹。,植物,内服：煎汤，1-3g；冲泡或浸酒炖。,本品活血作用较强，且能通经，故孕妇慎用。
苍术,山精、赤术、马蓟、青术、仙术,味辛，性苦，性温；归脾、胃、肝经,燥湿健脾，祛风散寒。,1、湿阻中焦证：本品苦温燥湿以祛湿浊，辛香健脾以和脾胃。对湿阻中焦，脾失健运而致脘腹胀闷，呕恶食少，吐泻乏力，舌苔白腻等症，最为适宜。  2、风湿痹证：本品辛散苦燥，长于祛湿，故痹证湿胜者尤宜。  3、风寒挟湿表证：本品辛香燥烈，能开肌腠而发汗，祛肌表之风寒表邪，又因其长于胜湿，故以风寒表证挟湿者最为适宜。  4、本品尚能明目，用于夜盲症及眼目昏涩。 ,植物,内服：煎服，5-10g。,阴虚内热、气虚多汗者忌用。
熟地黄,熟地,味甘，性微温；归肝、肾经,补血滋阴，益精填髓。,主治血虚萎黄，月经不调，崩漏下血，肾阴不足，腰膝酸软，盗汗遗精，精血两亏，头晕目眩，须发早白等。 ,植物,内服：煎汤，10-30g；或入丸散；或熬膏，或浸酒。,1、熟地黄性温，故外感温热、火热内炽等实热证者不宜大量长期服用；糖尿病患者忌单味药大量长期服用；鼻咽癌、甲状腺癌、乳腺癌患者忌用。
蛤蚧,蛤解、蛤蟹、仙蟾、蚧蛇、大壁虎,味咸，性平；归肺、肾经,补肺益肾，纳气定喘，助阳益精。,主要用于肺肾不足，久咳虚喘，劳嗽咳血，肾阳不足，精血亏虚，阳痿遗精等。,动物,内服：煎汤，3-6g；研末，1-1.5g；或入丸、散。,风寒或实热咳喘忌服。
杜仲,思仙、思仲、木绵、檰、石思仙、扯丝皮、丝连皮、棉皮（河南）、玉丝皮（四川）、丝棉皮（陕西）,四川、云南、贵州、湖北,补肝肾，强筋骨，安胎。,1、肾虚腰痛及各种腰痛：以其补肝肾、强筋骨，肾虚腰痛尤宜。其他腰痛用之，均有扶正固本之效。  2、胎动不安，习惯性堕胎：常以本品补肝肾、固冲任以安胎。,味甘，性温；归肝、肾经,内服：煎汤，6-15g；或浸酒；或入丸、散。,炒用破坏其胶质，更利于有效成分煎出，故比生用效果好。本品为温补之品，阴虚火旺者慎用。
芒硝,芒消、马牙消、英消、盆消,味咸、苦，性寒；归胃、大肠经,泻下攻积，润燥软坚，清热消肿。,主要用于积滞便秘，咽痛，口疮，目赤，痈疮肿痛等，外用有清热消肿作用。 ,矿物,内服：煎汤，10-15g；或研末，用药汁、开水冲服；或入丸剂。外用：研末敷；或化水点眼；或煎水熏洗。,孕妇及哺乳期妇女忌用或慎用。无实热，年老体弱所致的便秘，不宜用。
炮附子,盐附子、黑顺片、白附片、炮附片,味辛、甘，性大热。归心、肾、脾经。,回阳救逆，补火助阳，散寒止痛。,"1、亡阳证：本品能上助心阳、中温脾阳、下补肾阳，为“回阳救逆第一品药""。  2、阳虚证：本品辛甘温煦，有峻补元阳、益火消阴之效，凡肾、脾、心诸脏阳气衰弱者均可应用。  3、寒痹证：本品气雄性悍，走而不守，能温经通络，逐经络中风寒湿邪，故有较强的散寒止痛作用。凡风寒湿痹周身骨节疼痛者均可用之，尤善治寒痹痛剧者。  4、西医诊为心肌梗死、心律失常、心力衰竭所致的心源性休克，暴发型流脑、中毒性肺炎、败血症等引起的感染性休克属亡阳证者，消化道、呼吸道疾病及妇科手术外伤引起的大出血及严重的呕吐腹泻，急性病大汗引起的大量脱水所造成的低血容量休克属亡阳证者，某些急症大汗过多而见休克者属亡阳证者，慢性肾炎、糖尿病、醛固酮增多症、甲状腺功能低下、神经衰弱、肾上腺皮质功能减退、急性肾炎、肾病综合征肾阳虚证者，急慢性胃肠炎、胃及十二指肠溃疡属脾胃阳虚证者，风湿性关节炎、肝硬化黄疸属寒湿阻滞者，便秘属虚寒证者，痛经属于寒滞胞宫者。",植物,内服：煎服，3-15g；本品有毒，宜先煎0.5-1小时，至口尝无麻辣感为度。,若内服过量，或炮制、煎煮方法不当，可引起中毒。
淫羊藿,刚前、仙灵脾、仙灵毗、黄连祖、千两金、干鸡筋、放杖草、弃杖草、三枝九叶草、干雄筋、羊藿、牛角花、铜丝草、铁打杵、三叉骨、三叉风、桂鱼风、铁铧口、肺经草、铁菱角、铁耙头、鲫鱼风、羊藿叶、羊角风、三角莲、,味辛、甘，性温；归肾、肝经,补肾壮阳，强筋健骨，祛风除湿。,主要用于肾阳不足，阳痿遗精，遗尿尿频，风湿痹痛，骨痿瘫痪等。 ,植物,内服：水煎，3-9g；大剂量可用至15g；或入丸、散；或浸酒、熬膏。,1、性温，凡外感热病、实热内炽，阴虚火旺、血虚血热等证不宜单味药大量长期服用；水痘患者不宜用。
香附,雀头香、莎草根、香附子、雷公头、香附米、三棱草根、苦羌头,味辛、微味苦、微甘，性平；归肝、脾、三焦经,疏肝解郁，调经止痛，理气调中。,主要用于肝郁气滞胁痛、腹痛、月经不调、痛经、乳房胀痛、气滞腹痛等。 ,植物,内服：煎汤，5-10g；或入丸、散。外用：研末撒，调敷。,尚不明确。
犀牛角,犀角,印度犀：尼泊尔及印度北部；爪哇犀：爪哇；苏门犀：缅甸、泰国、马来西亚及印度尼西亚的苏门答腊、婆罗洲,清热，凉血，解毒。,主治温病高热，神昏谵语，惊厥抽搐，血热吐衄。,酸、咸，寒。入心、肝经。,6～15g，锉碎先煎；亦可锉末冲服。,脾胃虚寒者不宜用。
瓜蒌,乐清、老鸦瓜,味甘、微苦，性寒；归肺、胃、大肠经,清热化痰，宽胸散结，润肠通便。,主治痰热咳喘，胸痹、结胸，肺痈，肠痈，乳痈，肠燥便秘。,植物,内服：煎汤，9-20g；或入丸、散。外用：适量，捣敷。,尚不明确。
玄参,元参、浙玄参、黑参、重台、鬼藏、正马、鹿肠、端、玄台、元参,味甘、味苦、咸，性微寒；归肺、胃、肾经,清热凉血，泻火解毒，滋阴。,1、温邪入营，内陷心包，温毒发斑：本品咸寒入血分而能清热凉血。  2、热病伤阴，津伤便秘，骨蒸劳嗽：本品甘寒质润，功能清热生津，滋阴润燥。  3、目赤咽痛，瘰疬，白喉，痈肿疮毒：本品性味苦咸寒，既能清热凉血，又能泻火解毒。,植物,内服：煎服，10-15g。,脾胃有湿及脾虚便溏者忌服。
