药材,古籍,别名,性味归经,功用,药材简介,药剂1,药剂2,药剂3,药剂4,药剂5,药剂6,药剂7,药剂8,药剂9,药剂10,用法用量,注意事项
蒲公英,《新修本草》,婆婆丁、华花郎、蒲公草、食用蒲公英、尿床草、西洋蒲公英、婆婆丁,苦、甘，寒。归肝、胃经。,清热解毒，消肿散结，利湿通淋。,蒲公英，中药名。为菊科蒲公英属植物蒲公英、碱地蒲公英或同属数种植物的干燥全草。具有清热解毒，消肿散结，利湿通淋的功效。主治痈肿疔毒，乳痈内痈，热淋涩痛，湿热黄疸，清肝明目。连根挖起，全株药用。,蒲公英配夏枯草,蒲公英配天花粉,蒲公英配车前草,英藤汤,立消汤,消痈散毒汤,蒲公英汤,热炎宁颗粒（片）,,,蒲公英煎汤内服时，成人每天的常规用量为10~15克，也可以捣汁或入散剂。 外用鲜品适量，可以捣敷或煎汤熏洗患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,用量过大可致缓泻。
千里光,《本草图经》,九里明、蔓黄、菀、箭草、青龙梗、木莲草、野菊花、天青红,苦，寒。归肺、肝经。,清热解毒，清肝明目，利湿。,千里光，中药名。为菊科千里光属植物千里光的全草。具有清热解毒，清肝明目的功效。主治痈肿疮毒，目赤肿痛、泄泻痢疾。,千里光配玄参,千里光配蒲公英,千里光配决明子,千里光配苦参,鱼败银海汤,野菊煎剂,感冒消炎片,千柏鼻炎片,,,千里光煎汁内服时，成人每天的常规用量为15～30克，鲜品加倍。 外用时适量，熬膏涂抹，或鲜草捣敷，也可煎水熏洗。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,《饮片新参》：“中寒泄泻者勿服。”
四季青,《中草药通讯》,红冬青、油叶树、树顶子,苦、涩，凉。归肺、大肠、膀胱经。,清热解毒，消肿祛瘀，凉血止血，敛疮。,,,,,,,,,,,,脾胃虚寒，肠滑泄泻者慎用。,
地锦草,《嘉祐补注神农本草》,血见愁、红丝草、奶浆草,辛，平。归肝、大肠经。,清热解毒，凉血止血，利湿退黄。,地锦草，中药名。为大戟科大戟属植物地锦或斑地锦的干燥全草。具有清热解毒，凉血止血的功效。主治热毒泻痢，血热出血，湿热黄疸，热毒疮肿，毒蛇咬伤。,地锦草配马齿苋,地锦草配茵陈,地锦草配三七,肠炎宁糖浆（片）,小儿泻速停颗粒,季德胜蛇药片,三七止血片,止血片,,,地锦草煎汁内服时，成人每天的常规用量为9～20克。鲜品用量可增加至30~60克。外用适量。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 本品也可入散剂，外用时适量，鲜品捣敷或者干品研末调敷。,血虚无瘀及脾胃虚弱者慎用。
连翘,黄花杆、黄寿丹,味苦，性微寒；归肺、心、小肠经,清热解毒，消肿散结，疏散风热。,连翘，中药名。为木樨科连翘属植物连翘的干燥果实。具有清热解毒，消肿散结，疏散风热的功效。主治疮痈肿毒，瘰疬痰核，风热外感，温病初起，热淋涩痛。,,,,,,,,,,,,脾胃虚寒及气虚脓清者不宜用。,
拳参,紫参、牡蒙、众戎、音腹、疙瘩参、铜罗、虾参、拳头参、涩疙瘩,味苦、涩，性微寒；归肺、肝、大肠经,清热解毒，凉血止血，镇惊息风。,拳参，中药名。为蓼科蓼属植物拳参的干燥根茎。具有清热解毒，凉血止血，镇惊息风的功效。主治痈肿瘰疬，毒蛇咬伤，热病神昏，惊痫抽搐，热泻热痢，血热出血，利湿。,拳参煎汁内服时，成人每天的常规用量为5～10克，外用适量研敷或煎水含漱、洗。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,,,,,,,,,,,无实火热毒者不宜使用。阴证疮疡患者忌服。,
败酱草,《神农本草经》,黄花败酱、龙芽败酱、黄花龙芽,辛、苦，微寒；归胃、大肠、肝经,清热解毒，消痈排脓，祛瘀止痛。,败酱草，中药名。为败酱科植物黄花败酱、白花败酱的干燥全草。具有清热解毒，消痈排脓，祛瘀止痛的功效。主治肠痈肺痈，痈肿疮毒，产后瘀阻腹痛。,败酱草配薏苡仁,败酱草配秦皮,薏苡败酱汤,败酱散,败酱草散,癃清片,阑尾消炎片,康妇消炎栓,,,败酱草煎汁内服时，成人每天的常规用量为6～15克。 败酱草外用时可适量使用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虚弱者慎用。《本草汇言》：“久病胃虚牌弱，泄泻不食之症，一切虚寒下脱之疾，咸忌之。”
熊胆粉,清热，平肝，明目。,熊胆粉，中成药名。由牛磺熊去氧胆酸组成。具有清热，平肝，明目的功效。用于惊风抽搐，外治目赤肿痛，咽喉肿痛。捕捉熊杀熊后取胆，可以到屠宰场收集。,1、忌烟、酒、辛辣刺激性食物。 2、孕妇慎用。儿童应在医师指导下使用。 3、对本品过敏者禁用，过敏体质者慎用。,,,,,,,,,,,,,,
绿豆,青小豆,味甘，性寒；归心、胃经,清热解毒，消暑，利水。,绿豆，中药名。为豆科豇豆属植物绿豆的干燥种子。具有清热解毒，消暑，利水的功效。主治痈肿疮毒，暑热烦渴，药食中毒，水肿，小便不利。,内服：煎服，15-30g。外用：适量。,,,,,,,,,,,1、孟诜：今人食绿豆皆挞去皮，即有少壅气，若愈病须和皮，放不可去。 2、反榧子壳，害人。《本草拾遗》 3、脾胃虚寒滑泄者忌之。《本草经疏》 4、绿豆忌用铁锅煮。 5、绿豆性寒凉，素体阳虚、脾胃虚寒、泄泻者慎食。 6、正服用药物者忌使用绿豆。 7、孩子不宜喝大量绿豆汤、酸梅汤。,
紫花地丁,味苦、辛，性寒；归心、肝经,清热解毒，凉血消肿。,紫花地丁，中药名。为堇菜科堇菜属植物紫花地丁的全草。具有清热解毒，燥湿凉血的功效。主治疔疮痈疽，丹毒，痄腮，乳痈，肠痈，瘰疬，湿热泻痢，黄疸，目赤肿痛，毒蛇咬伤。,紫花地丁煎汁内服时，成人每天的常规用量为15～30克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 外用鲜品适量，捣烂敷患处。,阴疽漫肿无头及脾胃虚寒者慎服。,,,,,,,,,,,紫花地丁配金银花 紫花地丁苦泄辛散，清热解毒之中，尤其擅长凉血、散血热壅滞而消痈肿；金银花甘寒，芳香疏散，透营达气，表里气血俱清，为透热解毒的良药。 两药配伍，清热解毒、凉血消肿的功效增强，适用于血热壅滞所致的痈肿疔疮。 五味消毒饮 药物组成：金银花、蒲公英、紫花地丁、野菊花、紫背天葵子。 功能与主治：清热解毒，消散疔疮。用于火毒结聚的痈疮疥肿。初起局部红肿热痛或发热恶寒，各种疔毒、疮形如粟，坚硬根深，状如铁钉，舌红，苔黄。 五神汤 药物组成：金银花、紫花地丁、茯苓、车前子、牛膝。 功能与主治：清热解毒，分利湿热。用于下肢疮痈，焮痛色赤，属湿热凝结者。 紫花地丁散 药物组成：紫花地丁、当归、赤芍、大黄、黄芪、金银花、甘草节。 功能与主治：清热解毒。用于诸毒恶疮肿痛。 紫花地丁软膏 药物组成：紫花地丁稠膏。 功能与主治：抗菌消炎。用于一切疖肿，乳腺炎。 抗骨髓炎片 药物组成：金银花、紫花地丁、蒲公英、半枝莲、白头翁、白花蛇舌草。 功能与主治：清热解毒，散瘀消肿。用于热毒血瘀所致附骨疽，症见发热口渴，局部红肿、疼痛、流脓；骨髓炎见上述证候者。 二丁冲剂 药物组成：紫花地丁、蒲公英、板蓝根、半边莲。 功能与主治：清热解毒，利湿退黄。用于热疖痈毒，湿热黄疸，外感风热，咽喉肿痛，风热火眼等症。,
山慈菇,金灯花、鹿蹄草、山茨菇、慈姑、山慈姑、毛慈姑、泥冰子、算盘七、人头七、太白及、水球子、泥宾子、采配兰,味甘、微辛，性凉；归肝、脾经,清热解毒，消痈散结。,山慈菇，中药名。为兰科杜鹃兰属植物杜鹃兰、独蒜兰属植物独蒜兰或云南独蒜兰的干燥假鳞茎。具有清热解毒，消痈散结的功效。主治痈疽疔毒，瘰疬痰核，癥瘕痞块。,,,,,,,,,,,,正虚体弱者慎用。,山慈菇配三棱 山慈菇解毒散结，三棱破血消癥。 二药配伍，解毒散结、破血消癥的功效增强，可以用于治疗热毒瘀结或气血瘀滞所致的癥瘕痞块。 山慈菇配红大戟 山慈菇清热解毒力强，红大戟消肿散结力强。 二药配伍，增强清热解毒、消肿散结的作用，适用于热毒引起的疮痈疔毒、瘰疬痰核等。 山慈菇配延胡索 山慈菇清热解毒，化痰散结；延胡索活血化瘀止痛。 二药配伍，增强解毒化瘀、消肿止痛的作用，适用于痰湿瘀阻以及气滞血瘀引起的癥瘕积聚。 紫金锭（又名玉枢丹） 药物组成：山慈菇、红大戟、五倍子、千金子霜、朱砂、雄黄、麝香。 功能与主治：解毒，化痰开窍，消肿止痛。适用于由湿温时邪引起的神志昏迷不清、目眩晕厥、呕吐泄泻及小儿痰壅惊闭；外用治疗痈疽疔疮、肿核结毒等。 丹慈胶囊 药物组成：山慈菇、丹参、鸦胆子、莪术、马钱子粉、蜂房、人工牛黄、僵蚕、黄芪、当归、冰片。 功能与主治：化瘀解毒，消肿散结，益气养血。用于原发性肝癌瘀毒蕴结证型的辅助治疗，合并介入化疗，可改善临床症状。 软坚口服液 药物组成：白附子（制）、三棱、重楼、半枝莲、山豆根、金银花、板蓝根、山慈菇、延胡索（醋制）、益母草、人参、黄芪。 功能与主治：化瘀软坚，解毒，益气。用于Ⅱ期原发性肝癌瘀毒气虚的患者，对胁肋疼痛、食欲减退、腹胀、神疲乏力等症有改善作用，可作为原发性肝癌的辅助治疗药。若配合化疗介入方法，有助于提高疗效。 癃闭舒胶囊 药物组成：补骨脂、益母草、琥珀、金钱草、海金沙、山慈菇。 功能与主治：益肾活血，清热通淋。用于肾气不足、湿热瘀阻所致的癃闭，常见表现为腰膝酸软、尿频、尿急、尿痛、尿线细伴小腹拘急疼痛；前列腺增生症见上述证候者。
玄参,《神农本草经》,元参、浙玄参、黑参、重台、鬼藏、正马、鹿肠、端、玄台、元参,甘、苦、咸，微寒。归肺、胃、肾经。,清热凉血，滋阴降火，解毒散结。,玄参，中药名。为玄参科玄参属植物玄参及北玄参[]的干燥根。具有清热凉血，泻火解毒，滋阴的功效。主治温邪入营，内陷心包，温毒发斑，热病伤阴，津伤便秘，骨蒸劳嗽，目赤咽痛，瘰疬，白喉，痈肿疮毒。,玄参配苍术,玄参配牡丹皮,玄参配板蓝根,清营汤,化斑汤,增液汤,百合固金汤,四妙勇安汤,,,玄参煎汁内服时，成人每天的常规用量为9~15克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。 玄参寒滑，故脾胃虚寒，食少便溏者不宜使用。,脾胃有湿及脾虚便溏者忌服。
赤芍,《开宝本草》,赤芍药、赤药、木芍药、草芍药、红芍药、毛果赤芍,苦、微寒。归肝经,清热凉血，散瘀止痛。,赤芍，中药名。为毛茛科植物芍药或川赤芍的干燥根。春、秋二季采挖，除去根茎、须根及泥沙，晒干。苦，微寒。归肝经。具有清热凉血，活血祛瘀的功效。主治温毒发斑，血热吐衄，目赤肿痛，痈肿疮疡，肝郁胁痛，经闭痛经，癥瘕腹痛，跌打损伤。赤芍是著名野生地道中药材，应用历史悠久，用量较大、用途广泛且需求较为刚性，每年都有相当数量的出口。,赤芍配白芍,赤芍配川芎,桃红四物汤,少腹逐瘀汤,仙方活命饮,补阳还五汤,清瘟解毒片（丸）,乐脉颗粒,,,赤芍入煎剂服用，成人每天的常规用量为6～12克。 赤芍还可以制成丸剂或者散剂服用。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。,不与藜芦同用。血虚者慎服。孕妇及月经过多者不宜用。
紫草,《神农本草经》,硬紫草、大紫草、茈草、紫丹、地血、鸦衔草、紫草根、山紫草,甘、咸，寒。归心、肝经。,清热凉血，活血解毒，透疹消斑。,紫草，中药名。为紫草科拟紫草属植物新疆紫草、内蒙紫草和紫草属植物紫草的根。具有清热凉血，活血，解毒透疹的功效。主治温病血热毒盛，斑疹紫黑，麻疹不透，疮疡，湿疹，水火烫伤。,紫草配土茯苓,紫草配当归,紫草配地黄,紫草快斑汤,紫草解肌汤,紫草膏,生肌玉红膏,肝宁片,,,紫草煎汁内服时，成人每天的常规用量为5～10克。本品可入散剂。 外用适量，用油浸或熬膏涂敷患处。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,胃肠虚弱、大便滑泄者慎服。
牡丹皮,《神农本草经》,牡丹根皮、丹皮、丹根,苦、辛，微寒。归心、肝、肾经。,清热凉血，活血化瘀。,牡丹皮，中药名。为毛茛科芍药属植物牡丹的干燥根皮。具有清热凉血、活血化瘀的功效。主治温毒发斑，血热吐衄，温病伤阴，阴虚发热，夜热早凉，无汗骨蒸，血滞经闭及痛经，跌打伤痛，痈肿疮毒。在冬季采收。,牡丹皮配赤芍,牡丹皮配丹参,十灰散,青蒿鳖甲汤,桂枝茯苓丸,大黄牡丹皮汤,血美安胶囊,双丹颗粒（口服液）,,,牡丹皮煎汁内服时，成人每天的常规用量为6～12克。 本品也可入丸、散。 清热凉血宜生用，活血化瘀宜酒炙用，止血宜炒炭用。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,血虚、虚寒诸证，孕妇及妇女月经过多者禁服。
水牛角,《名医别录》,牛角尖沙牛角,苦，寒。归心、肝经。,清热凉血，解毒，定惊。,水牛角，中药名。为牛科水牛属动物水牛的角，是中药犀角的代用品。具有清热凉血，解毒，定惊的功效。主治温病高热，神昏谵语，惊风，癫狂，血热，妄行斑疹，吐衄，痈肿疮疡，咽喉肿痛。,水牛角配地黄,水牛角配石膏,清营汤,清瘟败毒饮,紫雪,清开灵胶囊（软胶囊、颗粒、滴丸、片、泡腾片）,小儿热速清口服液,,,,水牛角煎汁内服时，宜先煎3小时以上，成人每天的常规用量为15～30克。 水牛角浓缩粉冲服时，每次1.5～3克。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾胃虚寒者忌用。
生地黄,大生地、怀庆地黄、生地、地黄,味甘、苦，性寒；归心、肝、肾经,清热生津，养阴凉血。,生地黄，中药名。为玄参科地黄属植物地黄的新鲜或干燥块根。具有清热凉血，养阴生津的功效。主治热入营血，舌绛烦渴，斑疹吐衄，阴虚内热，骨蒸劳热，津伤口渴，内热消渴，肠燥便秘。,生地黄煎汁内服时，成人每天的常规用量为10～15克，鲜品12～30克。 以鲜品捣汁入药或熬膏。外用适量，捣敷或捣汁涂。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,,,,,,,,,,,1、生地黄质地滋腻，柔润，味甘而厚，擅补阴血，但有伤脾阳阻碍胃气的不良反应，故脾胃气虚，或脾阳不足，受纳运化之力不足，临床表现为食欲不振，少食便溏，或腹满泄泻，舌质淡，苔白多津，脉细无力等症者当忌用鲜地黄、生地黄，以免伤阳困脾。 2、生地黄养血滋阴，属性阴，湿邪也属阴，两阴相加，多生寒湿阻滞，且中焦脾土，与湿同气相求，最易致滞，故不可使用本品。临床表现为脘腹胸胁胀满痞塞，嗳气不畅，矢气不通，食欲不振，口渴少饮，舌苔厚腻等症者应忌用。 3、湿停成饮，饮聚成痰，痰饮与湿浊同源，皆因肺、脾、肾三脏阳虚所致。生地黄阴柔伤阳，有生痰积饮之弊，故痰饮滞膈，呕吐清水，气短胸闷，胁肋胀满，肢体肿痛，肥胖，咳逆倚息，肠间辘辘有声等症者，应慎用。《医学入门》：“中寒有痞、易泄者禁”。,
白薇,《神农本草经》,白龙须、白马薇、白马尾、白幕、半拉瓢、翅果白薇、春草、大白薇,苦、咸，寒。归胃、肝、肾经。,清热凉血，利尿通淋，解毒疗疮。,白薇，中药名。为萝藦科白前属植物白薇或蔓生白薇的干燥根及根茎。具有清热凉血，利尿通淋，解毒疗疮的功效。主治阴虚发热，产后虚热，热淋，血淋，疮痈肿毒，毒蛇咬伤，咽喉肿痛，阴虚外感。,,,,,,,,,,,1.性寒凉，凡外感风寒、内伤生冷脾胃虚寒、肾阳虚衰等证不宜单味药大量服用。 2.大量久服，容易损伤脾胃，慢性肠炎、慢性腹泻等消化系统疾病患者不宜大量长期服用。 3.有利尿通淋的作用，遗尿患者不宜大量长期服用。,
胡黄连,《新修本草》,割孤露泽、胡连、西藏胡黄连,苦，寒。归肝、胃、大肠经。,退虚热，除疳热，清湿热。,胡黄连，中药名。为玄参科胡黄连属植物胡黄连和印度胡黄连的根茎。具有退虚热，消疳热，清湿热的功效。主治骨蒸潮热、小儿疳热、湿热泻痢等。,,,,,,,,,,,脾胃虚弱者慎服。,
银柴胡,《本草纲目》,银胡、山菜根、山马踏菜根、牛肚根、沙参儿、白根子、山根子、土参,甘，微寒。归肝、胃经。,清虚热，除疳热。,"银柴胡，中药名。为石竹科繁缕属植物银柴胡的干燥根。具有清虚热，除疳热的功效。主治阴虚发热，疳积发热。春天采较好，在雨后土地湿润时,用特制工具挖掘。",银柴胡配鳖甲,银柴胡配胡黄连,清骨散,柴胡清肝散,同仁乌鸡白凤丸（水蜜丸、口服液）,乌鸡白凤丸（片）,利儿康合剂,,,,银柴胡煎汁内服时，成人每天的常规用量为3～10克。 入丸、散，适量。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.性寒凉，凡外感风寒、血虚无热者不宜服用。 2.大量久服易损伤脾胃，慢性肠炎、慢性腹泻等消化系统疾病不宜大量久服。
地骨皮,《神农本草经》,枸杞皮,甘，寒。归肺、肝、肾经。,凉血除蒸，清肺降火。,地骨皮，中药名。为茄科枸杞属植物枸杞或宁夏枸杞的干燥根皮。具有凉血除蒸，清肺降火的功效。主治阴虚发热、盗汗骨蒸，肺热咳嗽，血热出血等。在冬季采收。,地骨皮配白薇,地骨皮配胡黄连,地骨皮配大青叶,地骨皮配白茅根,泻白散,清骨散,清心莲子饮,秦艽鳖甲散,,,地骨皮煎汁内服时，成人每天的常规用量为9～15克。 外用时，可取适量地骨皮煎汁漱口、擦洗患处，也可研成细末撒于患处或调制后敷于患处。 服药与进食应间隔1小时左右，以免影响药效的发挥和食物的消化。,1.性寒凉，凡外感风寒、内伤生冷脾胃虚寒、便溏者不宜服用。 2.本品长期服用，易损伤脾胃，慢性胃炎、慢性肠炎、慢性腹泻者不宜大量久服。 3.有降低血压的作用，低血压患者不宜单味药大量长期服用。 4.有降低血糖的作用低血糖患者不宜长期空腹大量服用。 5.大剂量对心脏有抑制作用，心功能不全等心脏病患者不宜大量长期服用。 6.对子宫平滑肌有显著兴奋作用，孕妇忌大量服用。
青蒿,《神农本草经》,草蒿、廪蒿、茵陈蒿、邪蒿、香蒿、苹蒿、黑蒿、白染艮、苦蒿,苦、辛，寒。归肝、胆经。,清虚热，除骨蒸，解暑热，截疟，退黄。,青蒿，中药名。为菊科蒿属植物黄花蒿的干燥地上部分。具有清透虚热，凉血除蒸，解暑，截疟的功效。主治温邪伤阴，夜热早凉，阴虚发热，劳热骨蒸，暑热外感，发热口渴，疟疾寒热。茎叶旺盛生长时采收。,青蒿配知母,青蒿配白扁豆,青蒿配黄芩,青蒿鳖甲汤,清骨散,蒿芩清胆汤,清暑饮,感冒止咳颗粒（糖浆，合剂）,,,青蒿煎汁内服时，成人每天的常规用量为6～12克。煎药时后下。 可鲜用绞汁服。也可入丸、散。 外用时适量，捣敷或研末调敷，或煎汤外洗。 无论饭前还是饭后服，服药与进食都应间隔0.5-1小时，以免影响药物吸收和药效的发挥。,1.性味苦寒，脾胃虚寒的慢性胃炎、慢性腹泻者禁服。 2.青蒿素可以抑制心脏，心功能不全等心脏病患者不宜应用。 3.青蒿素有降低血压的作用，低血压患者不宜大量长期应用。 4.青蒿素有抑制中枢神经的作用，婴幼儿、老年人不宜长期服用。
大黄,《神农本草经》,将军、黄良、火参、肤如、蜀、牛舌、锦纹,苦，寒。归脾、胃、大肠、肝、心包经。,泻下攻积，清热泻火，凉血解毒，止血，逐瘀通经，利湿退黄。,大黄，中药名。为蓼科大黄属植物掌叶大黄、唐古特大黄或药用大黄的根及根茎。具有泻下攻积，清热泻火，凉血解毒，逐瘀通经的功效。主治积滞便秘，血热吐衄，目赤咽肿，热毒疮疡，烧烫伤，瘀血诸证，湿热痢疾、黄疸、淋证。,大黄配附子,大黄配枳实,大黄配地榆炭,大黄配生地黄,大黄配牡丹皮,大承气汤,大黄牡丹汤,温脾汤,桃核承气汤,,大黄煎汁内服时，成人每天的常规用量为3～15克。外用适量，一般是研末敷于患处。 生大黄泻下力较强，用于泻下宜生用，或用开水泡服，入汤剂不宜久煎，久煎则泻下力减弱。活血宜酒炙用；止血多炒炭用。 酒大黄擅长清上焦血分热毒，可以用于治疗目赤咽肿，齿龈肿痛。 熟大黄泻下力缓，减轻了腹痛的副作用，增强了活血祛瘀、泻火解毒的功用，用于治疗瘀血证及火毒疮疡。 大黄炭可以凉血化瘀止血，用于治疗血热有瘀出血证。 醋大黄的泻下作用减弱，其功效以消积化瘀为主，用于治疗食物消化不良而停积在胃里所致的胀满不舒，产后瘀停，妇女下腹部有结块等。 清宁片（大黄的炮制品，详见炮制方法部分）的泻下作用缓和，具有缓泻的作用而不伤气，逐瘀而不败正之功。用于治疗饮食停滞，口燥舌干，大便秘结之年老、体弱者及久病患者。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,1.本品为峻烈攻下之品，易伤正气，如非实证，不宜妄用。 2.本品苦寒，易伤胃气，脾胃虚弱者慎用。 3.其性沉降，且善活血祛瘀，故妇女怀孕、月经期、哺乳期应慎用。
番泻叶,《饮片新参》,旃那叶、泻叶、泡竹叶,甘、苦，寒。归大肠经。,泻热行滞，通便，利水。,番泻叶，中药名。为豆科山扁豆属植物狭叶番泻或尖叶番泻的干燥小叶。具有泻下通便的功效。主治热结便秘，腹水肿胀。生长90天左右者含葸醌类活性成分最高，宜此时采集。,番泻叶配陈皮,番泻叶配枳实,番泻叶配牵牛子、大腹皮,通便宁片,通便灵胶囊,习惯性便秘,,,,,番泻叶煎汁内服时，成人每天的常规用量为2～6克。 番泻叶可以后下，或者开水泡茶服用，或者研末冲服。 小剂量可以起到缓慢泄泻的作用，大剂量则可以攻下通便。 无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药物的吸收和药效的发挥。,1.体虚及孕妇忌服。 2.性滑利，具有缓泻作用，慢性肠炎、腹泻者忌服。 3.有降低血压的作用，低血压患者不宜大量长期服用。 4.久服多用损肾气，加重精关不固和阴茎疲软，故滑精、阳痿者忌久服、多用。 5.青光眼患者忌服。
芒硝,《名医别录》,朴硝、皮硝、毛硝、马牙硝、土硝、盆硝、元明粉,咸、苦，寒。归胃、大肠经。,泻下通便，润燥软坚，清火消肿。,芒硝，中药名。为硫酸盐类芒硝族矿物芒硝，经加工精制而成的结晶体。具有泻下攻积，润燥软坚，清热消肿的功效。主治积滞便秘，咽痛，口疮，目赤，痈疮肿痛等，外用有清热消肿作用。开矿采集。,芒硝配大黄,芒硝配半夏,芒硝配甘遂,芒硝配槟榔、南瓜子,调胃承气汤,黄龙汤,大陷胸汤,大黄清胃丸,,,芒硝一般不入煎剂，成人每天的常规用量为6～12克，待汤剂煎煮完成后，把芒硝溶入汤液中服用，或者用温开水冲服。 外用适量。可以研末外敷或化成水点眼。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物之外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,孕妇及哺乳期妇女忌用或慎用。无实热，年老体弱所致的便秘，不宜用。不宜与硫磺、三棱同用。
芦荟,《药性论》,油葱、洋芦荟、库拉索芦荟、美国芦荟、翠叶芦荟、华芦荟,苦，寒。归肝、胃、大肠经。,泻下通便，清肝泻火，杀虫疗疳。,芦荟，中药名。为百合科芦荟属植物库拉索芦荟及好望角芦荟的汁液经浓缩的干燥物。具有泻下通便，清肝，杀虫的功效。主治热结便秘，烦躁惊痫，小儿疳积，癣疮。,,,,,,,,,,,2～5g，宜入丸散。外用适量，研末敷患处。,脾胃虚弱，食少便溏及孕妇忌用。
火麻仁,《神农本草经》,麻子、麻子仁、大麻子、大麻仁、白麻子、冬麻子,甘，平。归脾、胃、大肠经。,润肠通便。,火麻仁，中药名。为桑科大麻属植物大麻的干燥成熟果实。具有润肠通便的功效。主治肠燥便秘，风水、脚气等。,火麻仁配白术,火麻仁配麦冬,火麻仁配苦杏仁,火麻仁配紫苏子,麻子仁丸（《伤寒论》）,麻仁丸（《证治准绳》）,麻仁胶囊（软胶囊、丸）,麻仁润肠丸,,,火麻仁煎汁内服时，成人每天的常规用量为10～15克；外用时适量捣敷或煎水洗。 除消食药（应该在饭后及时服药）、镇静安神药（临睡前服用）等药物以外，一般药物无论饭前还是饭后服，服药与进食都应间隔1小时左右，以免影响药效的发挥与食物的消化。,脾虚便溏及阳虚滑泄者不宜用，大量服用会引起中毒，应予注意。
郁李仁,《神农本草经》,山梅子、小李仁。郁子、郁里仁、李仁肉,辛、苦、甘，平。归脾、大肠、小肠经。,润肠通便，下气利水。,郁李仁，中药名。为蔷薇科郁李属植物欧李、郁李或榆叶梅、长柄扁桃的种仁。具有润肠通便，下气利尿消肿的功效。主治肠燥便秘，水肿胀满，脚气浮肿。,,,,,,,,,,,孕妇慎服。,
松子仁,《开宝本草》,松子、海松子等,甘，温。归大肠、肺经。,润肠通便，润肺止咳。,松子仁，中药名。为松科松属植物红松等的种仁。具有润肠通便，润肺止咳的功效。主治肠燥便秘、肺燥干咳。,,,,,,,,,,,煎服，5～10g。,脾虚便溏，湿痰者禁用。
